tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId,nChamps
CHALLENGER,2lHP_tI7_4u1q7Z_zzQJThCSwV50e35RGcN1wvhFLO_M-C1fzC4n97qjsw,살퀸레,673,257,227,False,False,False,False,39IDdOr2Yu7olI-OJJAJgcB27kbsHEbGkmNwf8UZKk7RmbwiBigPDL1n,4
CHALLENGER,6gEAOSKIL_eNW2YVVoTbQc77EvEE_Le5P0pKJqQLpnBKZWU4j2eN79-Mqg,Hidere,758,255,218,True,False,False,False,SncdNlUbmvTkTUOUR1MT1FYY8_g_Fv1LCMFZpGmvJ7qVANNRraQtOmZh,12
CHALLENGER,QDFPKhojmB0DaBoUsy9Xxy5NBDmpp5x1V7roqEkOLwi-QjA,래 뚜,771,347,310,True,False,False,False,BFNEElt6E7WFhQUEWB8AXAT9z62yIBZNn2ZzT1pL5-kvl9M,6
CHALLENGER,4HidLdNhpUaK3YaAr83exnctEF-Z26f6e4iF9_UfichOvQ,No longer love,679,245,185,False,False,False,False,WFGFfCXOE2USA_5LxshtAaPcrLtbEFUzSGfn8g2i9FLs,4
CHALLENGER,lcf6cgIYFGZCM3ESmr2hUOIOz9OSHThMP1h7DiXWGYdhsQ,11년째롤하는틀딱,782,164,123,False,False,True,False,xqwoEcIBNNQ_dkDgZU4AOKBclppm3HYC1r46BxRy8bI,11
CHALLENGER,H8qHjB9Ra0p5BLV04VSKm5fwClf-zOd1pZZ4hC6dqtz3gms,daikouzhao,607,259,225,True,False,False,False,j7i0fF1RFFBKBSHDyF8bOjuSZensCJLXrQpi9m0U9CFAdbzsEmLB-grA,9
CHALLENGER,hwWOG48V_SDKa6P9dvsfKeACQrWvBr20pFcIhSUxDWDK8Q,챌딱콩,672,70,43,False,False,False,False,JdMNzFlwqGJvL4_dGsh73foGi0Ofz_GOmuglT--xin-J,2
CHALLENGER,riz_5WBhxd5dB7ktGkpYSOpSIKOTgGx7GqM5Cnw_KJUVtgc,가루눈 OwO,622,145,115,False,False,True,True,lmZU5dD4S2equ5mlW54thoP-pHZiQpEu2SdFbdUXKAAOqb4,4
CHALLENGER,f1IwwHud6w-ncVs--5DJpYzOmm0tucOsRICiPp-Ah3I_e2j4I_Hs-LB7iQ,1xn,836,127,77,False,False,False,False,XKZhGVgk3eOo2hfhymWK-qO2wa4DGngPqO6AkFJl38PWPB8EX-rUFPaz,7
CHALLENGER,6PosY-Cv60b5y16DuhaRauzk1SW3PYz6QgqpIfnyqhPTbA,gongjianshou98,719,143,113,True,False,False,False,m_g8dSZHBvyRU7aC7cv2F7rgrtPC1y05j0MPYds8rwwI,11
