tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId,nChamps
GRANDMASTER,SmfRfNZgyBtmmXim9E1AFsu5XeW-7V6STgZ-WmAstbry78WV,Pullbae,357,207,183,True,False,False,False,l4_HcWlV50Uz3QFfDQ3TCKIdmPDPdLY_MoTlbyp-iy8l-4CdBPzfgvK4,11
GRANDMASTER,HWdTn4Gja3HQB2tAJyIaqC8mEfwTT7uh0MJGSwWql6smotE,wh4tever,326,206,192,False,False,False,False,y_0xsk1zeSAFtwuhZTRTh8nI5oGmYynv4LXhcLYUFrUeXf8,10
GRANDMASTER,FY5crxFOL-XOE1ZRfrn1HyfLg0UPo0yRn9JipksQeIaQcMI,dpi 2800,521,372,350,False,False,True,True,Ikf6Ags3xD3jZmTU_-d87wliniH3JmxXkRcg13FejqV7-k8,12
GRANDMASTER,FQSqYj1DRtFuJNl5t0gR1U958vQxd8OvwXJyGu9QMeNgaMU,Cheese Omelet,287,156,130,False,False,True,False,vjlanSfcC1NLc2B3PDUm078BHVGqSrvYk802XywgDY8-TRk,8
GRANDMASTER,wmim_j6eyIqMwC4RkvGlNlmySZyppNpuQsKXErdrpFgynFg,CANTWIN1VS1,420,117,83,False,False,True,False,ZHDCWVDUJdXV2nqoH2W6LYOxtIZ-zBUtCF_OkFCi8_r1G10,5
GRANDMASTER,R2CeCgwkn_hqYV9tb-vCX7A1674mchDUCqW_rNgnb9mfosc0,잉어킹4세,251,872,849,True,False,True,False,kXCzGr3IRQuCiio5FcUm-0DUzCslIeKmwkEHY3oOF2gIZcQ32Jk2C96N,9
GRANDMASTER,yTyowbnn02laxACR7TjIvPTyOelc33nk0J3yodX21lwpKkih,haoye,631,387,353,True,False,False,False,6GFB3fHa7zjEOc1Q8ee0EOZ7keH_g8hOFE2OhaLhNA0_U4o0hIqtL2td,7
GRANDMASTER,edRmDkH9lNZL8ta1xX2KxH1VCHidnMjpphUCoFj7uIk3BRg,공기그자체,359,130,109,False,False,False,False,UJR8a_-0QBnwjQwYhL5-44CsoSnu7lO5npq5lYgcBgCGY4BzOkne_BT_,9
GRANDMASTER,fe-np9-vlFVK_YQPw_mQmeOF4t1wyOIJaSzYwEfeFF2wxZk,로제 박채영,305,150,123,False,False,False,False,pX3IJCh-nDuwhU5FpK3uKttKo1H-5Sa8RsQrJtsUJ2o5ZcRmGMtMkm9M,6
GRANDMASTER,OJ_CJ4ihhHuQYUdNP_mqIz11KaqkFuBRIKLxfFpyMdtRigs,하인즈,326,244,225,False,False,False,False,lGWsqC8bBv7n-3JVMD6LfpBfEe_aL_LIn1BP_2iNW7gHs1s,10
GRANDMASTER,CfIPubv0-2q9sMKqmAB9H9of1nuAEEt9TDKNEwHIO8aJCCk,killer qing,357,239,216,True,False,False,False,O9oafRDnd6wFV3zdWVz664xBeft4kZm-xgCvmRRVpA-J2b2m6CSVaFZF,8
GRANDMASTER,LA-R10LY_2pf2w9SQOkWPxaWv1vNCSPoaLSv3xjrHwi6mrtojvmAd-EWEQ,Kid Ref,397,251,222,True,False,False,False,8TfLfTdqm5VwE8NBpV_dAVoSVLR_LXWBWMdo_mMz11YGGyIGZW4Q-Xlc,9
GRANDMASTER,Wmy9Kqg5V4oH5Kip1CF2keclejBivqOumxyEdR6_XI8DhhFf,삼봉국밥,512,146,104,True,False,False,False,6cIChilheory9fNQnpgt62WiHeKHiI_LoYXFQdVB33YRsCpyJbcfLRL-,9
GRANDMASTER,qyHr_NZW5SiA8AtwS1KF2I31Q7qUJzAg-5Ne4vj75rOyOJHndMGdv-UH4w,Iets go C1,327,88,55,False,False,True,True,edvXD8tI7iKnr5sejX4LCJkvUwFDmp9p8XIEvcxgFYDh5f5NprxrD13w,4
GRANDMASTER,zjMWk5Ui6QzZbphOOweGLFh34Q0vNVhArioRXc7jV70kbx8,똥과니,322,140,111,False,False,False,False,4gd8bZLcSamqMrpc0m2DLkHcuMhQIVHY76rCCEim2V8V,6
GRANDMASTER,6lFVw9GWAfWEanCIsStuOZTzHFe0OYGuaOXZrLjKnUq54RQ,DDDasher,314,76,66,False,False,False,True,-LMWRgBZn3V9T9MSpYE4EhtGsRUp_2J5LeaIVZ3XHfoFnfo,13
GRANDMASTER,bYfXYIw4nJIQgmR8fvjCr4_kL_k5yvr-ZsJk_AkJTvT4h48l,니가지은성,302,476,455,False,False,True,False,2liBGwn9PA1s7ocsyn7nJFQoZhS8hs6G02VpVsI9Ftd70a0MWbrPfacq,7
GRANDMASTER,-9g-pgoS3sPLYP6iRIMXmr1RZ-AMiW56aXD0oKxUw3azmb4,유씅진,418,370,342,False,False,False,False,d9RZSkh9DtDrUjr0PivPza9lmimgDH81XIHUUEwz5phWTQ-l1NTJZgdW,6
GRANDMASTER,Qi0pe4IFso0zCWeDAWROlQHtdnNTa-ioiCuJ8Ul2coX0BEm6,lvye2,352,161,144,False,False,False,False,ojlJu-uIlmPcltrc9upR0fURkwQjukTjyFfUjIaPEhjlebM7h1tfM_wQ,7
GRANDMASTER,LcaBeiQFfkWELQD_YR7uWCCORy6MthU6kKSd_aEdd80sNUM,Twitch 미드독학,257,283,211,False,False,True,False,WFrFlHwwVlqPx0G3grXhjR54qlUGm_5RLAI3tEemmEdD5H8,2
GRANDMASTER,lMzaIUZU_C9butXQ3Z9h3_9bYDOBpNWYkLHXPW9L8RaXLEs,바보지만착한,333,316,292,False,False,False,False,zsK_MYpyDdLZGNIGWVswkbApUwW8RsqP6RERPPBL7g0VkQA,11
GRANDMASTER,MD9LmEReh4nTnYuS4thBv7wiArCzfsnpRnpkeFRNJ0pDID0f,우마이 우마이,599,210,188,False,False,True,False,XPUdybTpsk-XKFGxSRZ7mBHCAZAODeqMMyUV6bDDUkpCDNkWS-B4OEJL,9
GRANDMASTER,9oiYmBB5OaYYFAWDVvNQG7Jw-xLDowvGOgo-lE4m5CpFdNk,S2zI존성태2S,361,58,39,False,False,False,False,hTlw25ALB-xT_VdcRxWpmN9CoUh2dMvGsf-0SYWB8fWe0_okJ8-K_SDc,9
GRANDMASTER,JIimOKiOMA9p48f1RU8ntrRsKZ24To3IejrewMhIuzk9hU4,아라드,403,155,125,False,False,False,True,ehaKuf-3hhP02DJG4xgVmakjbNks2IJEhSIIuWe2_LYwde_TdpX-jALV,2
