tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
MASTER,LxXMMjgrO0y5TjxXwUdGF4l9UeNtyVZAihJ_WiVThik8WYc,은퇴한  전지용,84,40,23,False,False,False,False
MASTER,q7YL30JqjASYasV3nf7y2TTg-5VC2MUii1WmsmyvsA1pDw,연습용계정12,0,113,74,False,False,False,False
MASTER,CQ346UDdp5AZS80zltJczs7nckV-HAPccoqDXkYFGnzXtHKwB0vzrt6a4w,yuklno,184,154,99,False,False,False,False
MASTER,KXb5oA5we8-IgD40nXLuNjJJN32DR49BdIICYvwtEnW6h025kezl-nCcJg,zybzyb,195,99,56,False,False,False,True
MASTER,cePbReTAWZXD_DEm2Q92ukhUWOVx1GmxMmtAZFTXXuu_H_I,XZPN,160,41,21,False,False,False,True
MASTER,3KKma4Wly4LtGxoI--M3tazHCgDIyHZzAOqFxl44p_jXtg,질투해,1,61,41,False,False,True,False
MASTER,b6ssR3qTT_Gxkfj4c3lMmWjn4WkqOdCCu4dgUfU5_3QbVD4,루나어린이,39,144,137,False,False,False,False
MASTER,Goj0AeyQMHP2pdjuTEWbPUfmbF0xeiLeUtZ4tYvLYpyfoldmmx9cMMmaHA,wtsonekdssodoe,32,213,197,False,False,True,False
MASTER,4ahguRZpGVWCVz1InsDiWFHzvo-zTCVQQBm1EAtRBw430DE,성비가실,27,508,452,False,False,False,False
MASTER,2o_dcu0LgoWRhv5zeMRtc1JJbsGraARUgYsvWmQfjL3Q4yI,소년지호,8,107,99,False,False,False,False
MASTER,WFuEyi1DZ4mp1EEZ9J4Eo_R5ZIMy-6UbV0IRTskwykKJhA,경고했을 텐데,20,331,317,False,False,False,False
MASTER,xV2iSHOi7Eg2yflJd0NDhepm-xlJ7agW-7hoS9wylRjUvpy5lNaSQEuXww,huang456,194,80,37,False,False,True,False
MASTER,YRKEdV1sY8Y43YmbXY3Pu4MkI2QaHPAGJscJzp3zZlfX8Q0,캐 인 ,181,446,445,False,False,False,False
MASTER,D7KDEOcx6BwWpdCnkr5a6iN6Zkx8cgwDWyAqAZzMGlwsKww9,내셔님작,165,107,83,False,False,False,True
MASTER,CPRbp3bPuvjHVwAFdwFdaQBwm3lElWDMtRYuH0wUdhXjcQaHvxrtFcv4uw,훈남입다,62,100,62,False,False,False,False
MASTER,_9Ej47dLsJVyGy4vF5qjC2w91sjkK-5rUCvmnqt_gOFNpj8Na8AEh1uDHw,Congratulations1,4,214,185,False,False,True,False
MASTER,IJ_oxNwJctG7RbssRyjY3hxCiySnh_pC6S0LB_jQ7Uj_HQqLO6kHn8R5rA,ohhwsnbb,212,131,90,False,False,True,False
MASTER,rGU396KZrcJMHKiTijXQWOPzYOaTFP4kh1YJH0gvz_RhtSM,기복이심한사람,1,83,76,False,False,True,False
MASTER,cK-ItSCuAvxKEvgFoavH-B9bXcm5hBekg8O7VNo4igui138,두파고1,108,137,120,False,False,True,False
